"MS.Zoning","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Exterior.1st","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Total.Bsmt.SF","Heating.QC","Central.Air","Electrical","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Cars","Garage.Area","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Fence","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition","SalePrice"
"RL",11241,"NP","Irreg","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wood","Brick",180,"TA","TA","CBlock","TA",1004,"Ex","Y","SBrkr",1004,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",2,480,"Y",0,0,0,0,0,0,"NP",700,3,2010,"WD ","Normal",149000
"RL",12537,"NP","Irreg","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",5,6,1971,2008,"Gable","VinylSd","None",0,"TA","TA","CBlock","TA",1078,"Ex","Y","SBrkr",1078,1,0,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd",2,500,"Y",0,0,0,0,0,0,"NP",0,4,2010,"WD ","Normal",149900
"RL",8450,"NP","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1968,1968,"Gable","VinylSd","None",0,"TA","TA","CBlock","TA",1056,"Ex","Y","SBrkr",1056,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1,304,"Y",0,85,184,0,0,0,"NP",0,7,2010,"WD ","Normal",142000
"RL",8400,"NP","Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",4,5,1970,1970,"Gable","Plywood","None",0,"TA","TA","CBlock","TA",882,"TA","Y","SBrkr",882,1,0,1,0,2,1,"TA",4,"Typ",0,"NP","Attchd",2,525,"Y",240,0,0,0,0,0,"MnPrv",0,4,2010,"WD ","Normal",126000
"RL",10500,"NP","Reg","Lvl","FR","Gtl","NAmes","Norm","1Fam","1Story",4,5,1971,1971,"Gable","HdBoard","None",0,"TA","TA","CBlock","TA",864,"TA","Y","SBrkr",864,0,0,1,0,3,1,"TA",5,"Typ",1,"Po","NP",0,0,"Y",0,0,0,0,0,0,"NP",0,4,2010,"Contract","Normal",115000
"RM",5858,"NP","Irreg","Lvl","FR","Gtl","NAmes","Norm","townhouse","1Story",7,5,1999,1999,"Gable","MetalSd","None",0,"Gd","TA","PConc","Gd",1405,"Ex","Y","SBrkr",1337,1,0,2,0,2,1,"Gd",5,"Typ",1,"TA","Attchd",2,511,"Y",203,68,0,0,0,0,"NP",0,6,2010,"WD ","Normal",184000
"RM",1680,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","2Story",6,5,1971,1971,"Gable","HdBoard","Brick",504,"TA","TA","CBlock","TA",483,"TA","Y","SBrkr",987,0,0,1,1,2,1,"TA",5,"Typ",0,"NP","Detchd",1,264,"Y",275,0,0,0,0,0,"NP",0,2,2010,"Oth","Normal",96000
"RM",1680,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","2Story",5,5,1971,1971,"Gable","HdBoard","Brick",492,"TA","TA","CBlock","TA",525,"TA","Y","SBrkr",1092,0,0,1,1,3,1,"TA",6,"Typ",0,"NP","Detchd",1,320,"Y",0,0,0,0,0,0,"NP",0,3,2010,"WD ","Normal",105500
"RM",1680,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","2Story",6,5,1971,1971,"Gable","HdBoard","Brick",381,"TA","TA","CBlock","TA",525,"TA","Y","SBrkr",1092,0,0,1,1,3,1,"TA",6,"Typ",0,"NP","Detchd",1,264,"Y",0,0,0,0,0,0,"NP",0,3,2010,"WD ","Family",88000
"RL",4043,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","1Story",6,5,1977,1977,"Gable","Plywood","None",0,"TA","TA","CBlock","Gd",1069,"TA","Y","SBrkr",1069,0,0,2,0,2,1,"TA",4,"Typ",1,"TA","Attchd",2,440,"Y",0,55,0,0,165,0,"NP",0,7,2010,"WD ","Normal",127500
"RL",2280,"NP","Reg","Lvl","FR","Gtl","Other","Norm","townhouse","2Story",6,6,1975,1975,"Gable","Plywood","None",0,"TA","TA","CBlock","TA",855,"TA","Y","SBrkr",1456,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2,440,"Y",173,0,0,0,0,0,"NP",0,6,2010,"WD ","Normal",149900
"RL",2280,"NP","Reg","Lvl","FR","Gtl","Other","Norm","townhouse","1Story",7,6,1975,1975,"Gable","Plywood","None",0,"TA","TA","CBlock","Gd",836,"Ex","Y","SBrkr",836,0,0,1,0,2,1,"TA",4,"Typ",0,"NP","Attchd",1,308,"Y",0,30,0,0,0,0,"NP",0,6,2010,"WD ","Normal",120000
"RL",2280,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","2Story",6,5,1978,1978,"Gable","Plywood","None",0,"TA","TA","CBlock","Gd",855,"Ta","Y","SBrkr",1456,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2,440,"Y",26,0,0,0,0,0,"NP",0,7,2010,"WD ","Normal",146000
"RL",12858,"NP","Irreg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",9,5,2009,2010,"Gable","VinylSd","Stone",162,"Ex","TA","PConc","Ex",1590,"Ex","Y","SBrkr",2334,0,0,2,1,3,1,"Ex",10,"Typ",1,"Gd","Attchd",3,751,"Y",144,133,0,0,0,0,"NP",0,1,2010,"New","Partial",376162
"RL",11478,"NP","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","Stone",200,"Gd","TA","PConc","Ex",1704,"Ex","Y","SBrkr",1704,1,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",3,772,"Y",0,50,0,0,0,0,"NP",0,5,2010,"WD ","Normal",306000
"RL",10159,"NP","Irreg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",9,5,2009,2010,"Hip","VinylSd","Stone",450,"Ex","TA","PConc","Ex",1930,"Ex","Y","SBrkr",1940,1,0,2,1,3,1,"Ex",8,"Typ",1,"Gd","Attchd",3,606,"Y",168,95,0,0,0,0,"NP",0,4,2010,"New","Partial",395192
"RL",12883,"NP","Irreg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2009,2010,"Gable","VinylSd","Stone",256,"Gd","TA","PConc","Gd",1544,"Ex","Y","SBrkr",1544,0,0,2,0,3,1,"Gd",7,"Typ",0,"NP","Attchd",3,868,"Y",0,35,0,0,0,0,"NP",0,6,2010,"New","Partial",290941
"RL",12182,"NP","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","1Story",7,5,2005,2005,"Gable","VinylSd","Brick",226,"Gd","TA","PConc","Gd",1541,"Ex","Y","SBrkr",1541,0,0,2,0,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2,532,"Y",0,70,0,0,0,0,"NP",0,5,2010,"New","Partial",220000
"RL",14122,"NP","Irreg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CemntBd","Brick",240,"Gd","TA","PConc","Ex",1822,"Ex","Y","SBrkr",1822,0,0,2,0,3,1,"Ex",8,"Typ",1,"Gd","Attchd",3,678,"Y",0,119,0,0,0,0,"NP",0,2,2010,"WD ","Normal",259000
"RL",10171,"NP","Irreg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",7,5,2004,2004,"Gable","VinylSd","Brick",168,"Gd","TA","PConc","Gd",1517,"Ex","Y","SBrkr",1535,0,0,2,0,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,532,"Y",0,0,0,0,0,0,"NP",0,3,2010,"WD ","Normal",214000
"RL",12919,"NP","Irreg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",9,5,2009,2010,"Hip","VinylSd","Stone",760,"Ex","TA","PConc","Ex",2330,"Ex","Y","SBrkr",2364,1,0,2,1,2,1,"Ex",11,"Typ",2,"Gd","Attchd",3,820,"Y",0,67,0,0,0,0,"NP",0,3,2010,"New","Partial",611657
"RL",6371,"NP","Irreg","Lvl","Inside","Gtl","NridgHt","Norm","townhouse","1Story",7,5,2009,2010,"Gable","VinylSd","Stone",128,"Gd","TA","PConc","Gd",1358,"Ex","Y","SBrkr",1358,1,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2,484,"Y",192,35,0,0,0,0,"NP",0,6,2010,"New","Partial",224000
"RL",14300,"NP","Reg","NonLvl","Inside","Sloped","NridgHt","Norm","1Fam","1Story",9,5,2003,2004,"Hip","VinylSd","Brick",1095,"Ex","TA","PConc","Ex",2846,"Ex","Y","SBrkr",2696,1,0,2,1,3,1,"Ex",10,"Typ",2,"Gd","Attchd",3,958,"Y",220,150,0,0,0,0,"NP",0,6,2010,"WD ","Normal",500000
"RL",13650,"NP","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2002,2002,"Gable","VinylSd","Brick",232,"Gd","TA","PConc","Gd",1671,"Ex","Y","SBrkr",2250,1,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",3,756,"Y",238,130,0,0,0,0,"NP",0,6,2010,"WD ","Normal",320000
"RL",7658,"NP","Reg","Lvl","Inside","Gtl","NridgHt","Norm","townhouse","1Story",9,5,2005,2005,"Hip","MetalSd","Brick",412,"Ex","TA","PConc","Ex",1752,"Ex","Y","SBrkr",1752,1,0,2,0,2,1,"Ex",6,"Typ",1,"Gd","Attchd",2,576,"Y",196,82,0,0,0,0,"NP",0,2,2010,"WD ","Normal",319900
"RL",7132,"NP","Irreg","Lvl","Inside","Gtl","NridgHt","Norm","townhouse","1Story",8,5,2006,2006,"Gable","VinylSd","Stone",178,"Gd","TA","PConc","Gd",1370,"Ex","Y","SBrkr",1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2,484,"Y",120,49,0,0,0,0,"NP",0,4,2010,"WD ","Normal",205000
"RL",2628,"NP","Reg","Lvl","Inside","Gtl","NridgHt","Norm","townhouse","2Story",7,5,2003,2003,"Gable","VinylSd","Stone",106,"Gd","TA","PConc","Gd",764,"Ex","Y","SBrkr",1626,0,0,2,1,2,1,"Gd",6,"Typ",0,"NP","BuiltIn",2,474,"Y",0,27,0,0,0,0,"NP",0,6,2010,"WD ","Normal",175500
"RL",18494,"NP","Irreg","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","1Story",6,5,2005,2005,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",1324,"Ex","Y","SBrkr",1324,0,0,2,0,3,1,"Gd",6,"Typ",0,"NP","Attchd",2,430,"Y",36,23,0,0,0,0,"NP",0,1,2010,"WD ","Normal",199500
"RL",3203,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","1Story",7,5,2006,2006,"Gable","VinylSd","Brick",14,"Gd","TA","PConc","Gd",1145,"Ex","Y","SBrkr",1145,0,0,2,0,2,1,"Gd",6,"Typ",0,"NP","Attchd",2,437,"Y",100,116,0,0,0,0,"NP",0,1,2010,"WD ","Normal",160000
"RL",3182,"NP","Reg","Lvl","Inside","Gtl","Other","Norm","townhouse","1Story",8,5,2004,2005,"Gable","VinylSd","Brick",16,"Gd","TA","PConc","Gd",1256,"Ex","Y","SBrkr",1269,0,0,2,0,2,1,"Gd",6,"Typ",1,"TA","Attchd",2,430,"Y",146,20,0,0,144,0,"NP",0,4,2010,"WD ","Normal",192000
"RL",13300,"NP","Irreg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","SLvl",7,5,2004,2004,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",384,"Ex","Y","SBrkr",1374,1,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",2,400,"Y",100,0,0,0,0,0,"NP",0,6,2010,"WD ","Normal",184500
"RL",7851,"NP","Reg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",6,5,2002,2002,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",860,"Ex","Y","SBrkr",1960,1,0,2,1,4,1,"Gd",8,"Typ",2,"TA","BuiltIn",2,440,"Y",288,48,0,0,0,0,"NP",0,5,2010,"WD ","Normal",216500
"RL",8577,"NP","Irreg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",847,"Ex","Y","SBrkr",1733,0,0,2,1,3,1,"Gd",7,"Typ",1,"Gd","BuiltIn",2,433,"Y",144,48,0,0,0,0,"NP",0,4,2010,"WD ","Normal",185088
"RL",7750,"NP","Irreg","Lvl","Inside","Gtl","Gilbert","Norm","1Fam","SLvl",7,5,2000,2000,"Gable","VinylSd","None",0,"TA","TA","PConc","Gd",384,"Ex","Y","SBrkr",1430,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",2,400,"Y",180,0,0,0,0,0,"NP",0,4,2010,"WD ","Normal",180000
"RL",9505,"NP","Irreg","Lvl","CulDSac","Gtl","Gilbert","Norm","1Fam","2Story",7,5,2001,2001,"Gable","VinylSd","Brick",180,"Gd","TA","PConc","Gd",884,"Ex","Y","SBrkr",2035,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","BuiltIn",2,434,"Y",144,48,0,0,0,0,"NP",0,5,2010,"WD ","Normal",222500
"RL",14774,"NP","Irreg","Lvl","Corner","Gtl","Other","Norm","1Fam","2Story",9,5,1999,1999,"Gable","VinylSd","Brick",165,"Gd","TA","PConc","Gd",1393,"Ex","Y","SBrkr",2599,0,0,2,1,4,1,"Gd",10,"Typ",1,"TA","BuiltIn",3,779,"Y",668,30,0,0,0,0,"NP",0,5,2010,"WD ","Normal",333168
"RL",17433,"NP","Irreg","Lvl","CulDSac","Gtl","Other","Norm","1Fam","2Story",8,5,1998,1998,"Hip","VinylSd","Brick",114,"Gd","TA","PConc","Ex",1629,"Ex","Y","SBrkr",2475,0,0,2,1,4,1,"Gd",7,"Typ",1,"TA","Attchd",3,962,"Y",23,172,0,0,256,0,"NP",0,1,2010,"WD ","Normal",355000
"RL",10593,"NP","Irreg","Lvl","Inside","Gtl","Other","Norm","1Fam","1Story",7,5,1996,1996,"Hip","VinylSd","Brick",338,"Gd","TA","PConc","Gd",1720,"Ex","Y","SBrkr",1720,1,0,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd",2,527,"Y",240,56,154,0,0,0,"NP",0,3,2010,"WD ","Normal",260400
"RL",12256,"NP","Irreg","Lvl","Corner","Gtl","Other","Norm","1Fam","2Story",8,5,1994,1995,"Gable","HdBoard","Brick",362,"Gd","TA","PConc","Ex",1463,"Ex","Y","SBrkr",2622,1,0,2,1,3,1,"Gd",9,"Typ",2,"TA","Attchd",2,712,"Y",186,32,0,0,0,0,"NP",0,4,2010,"WD ","Normal",325000
"RL",11764,"NP","Irreg","Lvl","CulDSac","Gtl","Other","Norm","1Fam","2Story",8,7,1999,2007,"Gable","VinylSd","Brick",348,"Gd","TA","PConc","Gd",1152,"Ex","Y","SBrkr",2270,0,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","Attchd",3,671,"Y",132,57,0,0,0,0,"NP",0,4,2010,"WD ","Normal",290000
"RL",16770,"NP","Irreg","Lvl","CulDSac","Gtl","Other","Norm","1Fam","2Story",7,5,1998,1998,"Gable","VinylSd","Brick",30,"Gd","TA","PConc","Gd",1195,"Gd","Y","SBrkr",1839,0,0,2,1,4,1,"TA",7,"Typ",0,"NP","Attchd",2,486,"Y",0,81,0,0,0,0,"NP",0,6,2010,"WD ","Normal",221000
"RL",14720,"NP","Irreg","Lvl","CulDSac","Gtl","Other","Norm","1Fam","1.5Fin",8,5,1995,1996,"Hip","VinylSd","Brick",579,"Gd","TA","PConc","Gd",2033,"Ex","Y","SBrkr",3238,1,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","Attchd",3,666,"Y",283,86,0,0,0,0,"NP",0,3,2010,"WD ","Normal",410000
"RL",8987,"NP","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,2005,2006,"Gable","VinylSd","Brick",226,"Gd","TA","PConc","Gd",1595,"Ex","Y","SBrkr",1595,0,0,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",3,880,"Y",144,0,0,0,0,0,"NP",0,5,2010,"WD ","Normal",221500
"FV",9215,"NP","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",7,5,2009,2010,"Hip","VinylSd","None",0,"Gd","TA","PConc","Gd",1218,"Ex","Y","SBrkr",1218,0,0,2,0,2,1,"Gd",4,"Typ",0,"NP","Attchd",2,676,"Y",0,136,0,0,0,0,"NP",0,4,2010,"New","Partial",204500
"FV",8640,"NP","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","2Story",7,5,2009,2009,"Gable","VinylSd","None",0,"TA","TA","PConc","Gd",756,"Ex","Y","SBrkr",1547,0,0,2,1,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,614,"Y",169,45,0,0,0,0,"NP",0,6,2010,"Contract","Normal",215200
"FV",9000,"NP","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,2008,2008,"Gable","VinylSd","Stone",36,"Gd","TA","PConc","Gd",1566,"Ex","Y","SBrkr",1566,1,0,2,0,3,1,"Gd",7,"Typ",0,"NP","Attchd",2,750,"Y",144,168,0,0,0,0,"NP",0,4,2010,"WD ","Normal",262500
"FV",12552,"NP","Reg","Lvl","Corner","Gtl","Somerst","Norm","1Fam","2Story",7,5,2004,2005,"Gable","VinylSd","None",0,"Gd","TA","PConc","Gd",991,"Ex","Y","SBrkr",1947,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2,678,"Y",0,136,0,0,0,0,"GdWo",0,5,2010,"WD ","Normal",254900
